AADGroupName,EMail
AzureLabs_Class1,exampleuser1@contoso.com
AzureLabs_Class1,exampleuser2@contoso.com
AzureLabs_Class1,exampleuser3@contoso.com
AzureLabs_Class1,exampleuser4@contoso.com
AzureLabs_Class1,exampleuser5@contoso.com
AzureLabs_Class1,exampleuser6@contoso.com
AzureLabs_Class2,exampleuser1@contoso.com
AzureLabs_Class2,exampleuser2@contoso.com
AzureLabs_Class2,exampleuser7@contoso.com
AzureLabs_Class2,exampleuser8@contoso.com
AzureLabs_Class2,exampleuser9@contoso.com
AzureLabs_Class2,exampleuser10@contoso.com
AzureLabs_Class2,exampleuser11@contoso.com
